FORWARD_0,BACKWARD_0,FORWARD_1,BACKWARD_1,FORWARD_2,BACKWARD_2,FORWARD_3,BACKWARD_3,FORWARD_4,BACKWARD_4
100,100,100,40,80,60,80,40,60,40
100,100,100,100,100,100,100,100,100,100
100,100,100,100,80,60,80,60,60,60
80,80,80,80,100,80,60,100,60,80
80,60,60,60,40,60,60,40,60,60
100,100,100,80,100,80,80,100,80,100
100,100,100,100,100,100,80,80,100,100
100,100,100,100,100,100,100,100,100,100
100,60,80,40,100,20,100,80,80,80
80,100,80,80,100,80,80,100,80,80
80,60,80,40,40,40,60,60,40,40
100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100
80,100,100,100,100,100,100,100,80,80
100,100,100,100,100,100,100,100,100,100
100,80,60,60,60,40,60,60,40,60
100,100,100,100,100,100,100,100,100,100
100,80,80,60,40,60,40,60,80,40
100,80,100,80,80,100,100,80,80,100
100,80,100,60,100,60,80,60,80,80
100,60,100,60,100,60,60,80,80,60
100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,80,100,80,100,80
80,100,80,60,80,40,80,100,100,80
100,100,100,100,80,80,80,80,100,100
80,100,80,100,100,80,80,80,80,100
100,80,80,80,80,80,100,80,100,100
100,20,100,20,60,60,60,60,60,60
60,60,60,60,80,20,40,20,20,40
100,40,60,20,60,60,80,40,40,40
100,100,100,100,100,100,100,100,100,100
100,100,80,80,80,80,80,80,80,80
100,100,100,100,100,100,100,100,100,100
100,80,100,80,100,100,80,100,100,100
100,80,80,100,60,80,80,60,100,80
100,100,100,80,100,80,100,80,100,80
80,100,80,100,80,80,80,80,80,80
100,100,100,80,100,60,80,60,60,80
80,80,100,0,80,20,100,0,60,20
100,100,100,100,100,100,100,100,100,100
100,40,100,40,60,40,40,60,60,40
100,100,100,80,100,80,80,100,80,100
100,80,80,80,80,80,80,80,80,80
100,20,100,0,80,20,60,20,40,20
100,100,100,100,100,100,100,100,100,100
100,80,100,80,100,60,100,60,60,60
100,60,60,40,40,60,60,40,40,60
100,100,100,100,100,100,100,100,100,100
100,100,60,80,60,60,80,80,60,60
100,100,100,100,100,100,100,100,100,100
100,100,80,100,80,100,100,100,100,80
100,80,80,80,80,80,80,100,100,80
100,40,80,0,80,0,40,100,80,80
